target_gene_name,interactor_gene_name
ANAPC2,ANAPC4
ANAPC2,ANAPC5
ANAPC2,ANAPC7
ANAPC2,BUB1B
ANAPC2,CCT7
ANAPC2,CDC16
ANAPC2,CDC20
ANAPC2,CDC23
ANAPC2,CDC26
ANAPC2,CDC27
ANAPC2,FBXO5
ANAPC2,FZR1
ANAPC2,NEK2
ANAPC2,PYCR1
ANAPC2,PYCR2
ANAPC2,SRI
ANAPC4,ANAPC1
ANAPC4,ANAPC10
ANAPC4,ANAPC11
ANAPC4,ANAPC13
ANAPC4,ANAPC16
ANAPC4,ANAPC2
ANAPC4,ANAPC5
ANAPC4,ANAPC7
ANAPC4,BUB1
ANAPC4,BUB1B
ANAPC4,BUB3
ANAPC4,CCT7
ANAPC4,CDC16
ANAPC4,CDC20
ANAPC4,CDC23
ANAPC4,CDC26
ANAPC4,CDC27
ANAPC4,DCAF11
ANAPC4,DEPDC1B
ANAPC4,FBXO5
ANAPC4,FHOD3
ANAPC4,FZR1
ANAPC4,HP1BP3
ANAPC4,KIF18A
ANAPC4,KLHL7
ANAPC4,MAD2L1
ANAPC4,NEK2
ANAPC4,PYCR1
ANAPC4,PYCR2
ANAPC4,TERF2IP
ANKRD10,TAB2
ANKRD10,TRIP6
ANKRD13A,RHOB
ANKRD13A,RPS27A;UBC;UBB;UBA52
ANKRD17,ANKHD1
ANKRD17,HOXB6
ANKRD17,LONP1
ANKRD27,NCOA1
ANKRD27,SRSF1
ANKRD27,TBC1D4
ANKRD27,TRIP6
ANKRD28,ANKRD44
ANKRD28,ANKRD52
ANKRD28,AP2A2
ANKRD28,AP2M1
ANKRD28,ARHGEF2
ANKRD28,IQSEC1
ANKRD28,PPIP5K2
ANKRD28,PPP6C
ANKRD28,PPP6R1
ANKRD28,PPP6R2
ANKRD28,PPP6R3
ANKRD28,PRKDC
ANKRD39,CDC25C
ANKRD39,MED18
ANKRD39,NEDD8;NEDD8-MDP1
ANKRD39,SRSF1
ANKRD40,AHCY
ANKRD40,C2ORF44
ANKRD40,EP400
ANKRD46,15/09/2021 0:00
ANKRD46,ATRN
ANKRD46,BNIP1
ANKRD46,CANX
ANKRD46,FAF2
ANKRD46,LMAN2L
ANKRD46,MGRN1
ANKRD46,NBAS
ANKRD46,PGRMC2
ANKRD46,SEC62
ANKRD46,SPCS3
ANKRD46,SRPRB
ANKRD46,TMX1
ANKRD46,VEZT
ANKRD46,ZMPSTE24
ANKRD52,ANKRD28
ANKRD52,PPP6C
ANKRD52,PPP6R1
ANKRD52,PPP6R2
ANKRD52,PPP6R3
ANKRD54,DOCK1
ANKRD54,FAM192A;NIP30
ANKRD54,HNRNPUL2-BSCL2;HNRNPUL2
ANKRD54,KIAA1279
ANKRD54,KPNA2
ANKRD54,PSME3
ANKRD54,SNX33
ANKRD54,TULP3
ANKZF1,APRT
ANKZF1,PSMA5
ANKZF1,PSMA6
ANKZF1,PSMB2
ANKZF1,PSMB7
ANKZF1,PSMC3
ANKZF1,PSMC4
ANKZF1,PSMC5
ANKZF1,PSMC6
ANKZF1,PSMD11
ANKZF1,PSMD12
ANKZF1,PSMD13
ANKZF1,PSMD3
ANKZF1,PSMD6
ANKZF1,PSMD7
ANLN,APMAP
ANLN,FLOT2
ANLN,GEMIN4
ANLN,IQGAP3
ANLN,PPIF
ANLN,SRI
ANXA11,OAT
ANXA11,PRDX3
AP2B1,AAK1
AP2B1,AP2A1
AP2B1,AP2A2
AP2B1,AP2M1
AP2B1,AP2S1
AP2B1,BMP2K
AP2B1,CALCOCO1
AP2B1,EPS15
AP2B1,EPS15L1
AP2B1,FCHO2
AP2B1,NUMB
AP2B1,REPS1
AP2S1,AAGAB
AP2S1,AAK1
AP2S1,AP2A1
AP2S1,AP2A2
AP2S1,AP2B1
AP2S1,AP2M1
AP2S1,BMP2K
AP2S1,C15ORF57
AP2S1,EPS15
AP2S1,EPS15L1
AP2S1,FCHO2
AP2S1,HIST1H1B
AP2S1,PAICS
AP2S1,RAN
APC,CTNNB1
APC,TRAP1
APPL1,ACTR2
APPL1,APPL2
APPL1,ARPC1A
APPL1,ARPC2
APPL1,CAMSAP3
APPL1,KIAA0430
APPL1,YWHAB
APPL1,YWHAE
APPL1,YWHAG
APPL1,YWHAH
APPL1,YWHAQ
APPL1,YWHAZ
APPL2,APPL1
ARAF,CDC37
ARAF,RAF1
ARAF,YWHAB
ARAF,YWHAG
ARAF,YWHAH
ARAF,YWHAZ
ARF1,ARF1;ARF3
ARF1,ARFIP2
ARF3,ANKHD1
ARF3,ARF1;ARF3
ARF3,RAI1
ARF4,ARF5
ARF4,BCAP31
ARF4,ERP44
ARF4,HSP90B1
ARF4,LMAN2
ARF4,SERPINH1
ARF4,WBP11
ARF5,ERP44
ARF5,LMAN2
ARF5,RRP36
ARF5,SERPINH1
ARF6,KAT2A
ARF6,SMARCD2
ARF6,USP6NL
ARFGAP1,CD2AP
ARFGAP1,COPG2
ARFGAP2,MAD2L1
ARFGAP3,SNAPC4
ARFGEF1,AKAP10
ARFGEF1,ARFGEF2
ARFGEF1,C13ORF34;BORA
ARFGEF1,DPY30
ARFGEF1,MSH2
ARFGEF1,MSH6
ARFGEF1,MYCBP
ARFGEF1,TATDN3
ARFGEF2,AKAP10
ARFGEF2,ARFGEF1
ARFGEF2,DPY30
ARFGEF2,MYCBP
ARFIP1,ARFIP2
ARFIP1,ARL1
ARFIP1,HAUS2
ARFIP1,HAUS6
ARFIP1,HAUS7
ARFIP2,ARFIP1
ARFIP2,CCAR1
ARHGAP1,RHOC
ARHGAP11A,CAPZA2
ARHGAP11A,CD2AP
ARHGAP11A,DCTN1;DKFZP686E0752
ARHGAP11A,TWF1
ARHGAP11AB,ACTB
ARHGAP11AB,STOM
ARHGAP15,BCAP29
ARHGAP15,BCAP31
ARHGAP15,CYB5A
ARHGAP15,EDC4
ARHGAP15,ESYT1
ARHGAP15,HACD3
ARHGAP15,MICAL2
ARHGAP15,PGRMC1
ARHGAP15,SCD
ARHGAP17,ARHGAP44
ARHGAP17,SH3BP1
ARHGAP17,VCL
ARHGAP18,AFTPH
ARHGAP18,ALDH18A1
ARHGAP18,AP1AR
ARHGAP18,AP1B1
ARHGAP18,AP1G1
ARHGAP18,AP1M1
ARHGAP18,AP2A2
ARHGAP18,AP2B1
ARHGAP18,AP2M1
ARHGAP18,AP2S1
ARHGAP18,BAG2
ARHGAP18,BAG4
ARHGAP18,BMP2K
ARHGAP18,C6ORF10
ARHGAP18,CALCOCO1
ARHGAP18,CD2AP
ARHGAP18,CHMP5
ARHGAP18,CLINT1
ARHGAP18,CLTA
ARHGAP18,CLTB
ARHGAP18,CLTC
ARHGAP18,CPSF7
ARHGAP18,DCP1A
ARHGAP18,DCP1B
ARHGAP18,DCP2
ARHGAP18,DDX6
ARHGAP18,EDC3
ARHGAP18,EDC4
ARHGAP18,EIF4ENIF1
ARHGAP18,ENPP4
ARHGAP18,EPN2
ARHGAP18,EPS15
ARHGAP18,GAK
ARHGAP18,GOLGA2
ARHGAP18,GTSE1
ARHGAP18,HELZ
ARHGAP18,HIP1
