target_gene_name,interactor_gene_name,interaction_stoichiometry
AGO1,AGO2,0.167711068
AGO1,TNRC6A,0.197349244
AGO1,TNRC6B,0.570151275
AGO1,TNRC6C,0.099477649
AGO2,AGO1,0.052210014
AGO2,AGO3,0.022943178
AGO2,CNDP2,0.007703243
AGO2,COPS6,0.000536637
AGO2,FKBP5,0.022555369
AGO2,NELFA,0.005484895
AGO2,TNRC6A,0.187976424
AGO2,TNRC6B,0.393007434
AGO2,TNRC6C,0.233094162
AGPAT6,CHP1,0.351631057
AGPAT6,MSH6,5.51E-05
AGPAT6,TMEM120B,0.054734717
AHCY,ANKRD40,0.020811587
AHCY,C1ORF50,0.064767295
AHCY,ENO2,0.005622575
AHCY,ERLIN2,0.001286807
AHCY,GAK,0.001754489
AHSA1,AP2M1,0.000127257
AHSA1,APLP2,2.22E-05
AHSA1,ECT2,0.00382488
AHSA1,FKBP5,8.12E-05
AHSA1,GDAP2,3.29E-05
AHSA1,HSP90AA1,0.041462316
AHSA1,HSP90AB1,0.033722591
AHSA1,HSP90AB2P,0.049095204
AHSA1,HSP90B1,0.001600503
AHSA1,KPNB1,0.000780439
AHSA1,RICTOR,5.53E-06
AHSA1,RNF219,0.009221349
AHSA1,TOMM40,0.001930601
AKAP12,ACADM,0.001296606
AKAP12,FHL1,0.040023133
AKAP12,GAPDH,0.10006633
AKAP12,HSPA12A,0.064104335
AKAP12,LDHA,0.053224123
AKAP12,ORC4,0.000615545
AKAP12,PRKACA,0.016434494
AKAP12,PRKAR2A,0.0150741
AKAP12,TRAP1,0.003093662
AKAP13,ARHGEF18,0.001813966
AKAP8L,HSPD1,1.30587154
AKR1A1,PRKAA1,0.003498965
AKT1,GPHN,0.022047083
AKT1,RPS6KB2;RPS6KB1,0.134859753
AKT1,VASP,0.000654043
AKT1S1,MTOR,0.024638493
AKT1S1,RPTOR,0.034361529
AKT1S1,YWHAE,0.14343217
AKT1S1,YWHAG,0.158635155
AKT1S1,YWHAH,0.041967435
AKT2,AP1G1,0.000393982
ALCAM,ABCC1,0.002499864
ALCAM,LAMB1,0.001339148
ALDH16A1,DCTN2,0.004113536
ALDH16A1,DERA,0.695605469
ALDH16A1,KIAA0430,1.73E-05
ALDH16A1,PRR14L,4.63E-05
ALDH16A1,TRIAP1,0.002616924
ALG2,LDHA,0.513292921
ALG2,TECR,0.530865087
AMBRA1,CWF19L2,
AMBRA1,DDA1,
AMBRA1,DDB1,
AMBRA1,PRPF40A,
AMBRA1,RBM25,
ANAPC11,ANAPC4,0.000401342
ANAPC11,CCT7,0.151639864
ANAPC16,ANAPC1,0.554960059
ANAPC16,ANAPC10,0.748288799
ANAPC16,ANAPC13,1.195697114
ANAPC16,ANAPC2,1.100245004
ANAPC16,ANAPC4,0.400307531
ANAPC16,ANAPC5,0.498642
ANAPC16,ANAPC7,2.877736093
ANAPC16,BUB1B,0.063555241
ANAPC16,CCT7,0.116445457
ANAPC16,CDC16,2.033247837
ANAPC16,CDC20,0.098410535
ANAPC16,CDC23,0.962616122
ANAPC16,CDC26,1.47572927
ANAPC16,CDC27,3.290222801
ANAPC16,FBXO5,0.008765002
ANAPC16,FZR1,0.027065309
ANAPC16,NEK2,0.234627421
ANAPC16,PYCR1,6.67655616
ANAPC16,PYCR2,2.492118712
ANAPC16,SNX9,0.00325195
ANAPC2,ANAPC1,0.172265142
ANAPC2,ANAPC10,0.162841059
ANAPC2,ANAPC11,0.313306697
ANAPC2,ANAPC13,0.340393403
ANAPC2,ANAPC16,0.082696604
ANAPC2,ANAPC4,0.317678395
ANAPC2,ANAPC5,0.17123028
ANAPC2,ANAPC7,0.568287776
ANAPC2,BUB1B,0.004202623
ANAPC2,CCT7,0.075086562
ANAPC2,CDC16,0.576566608
ANAPC2,CDC20,0.039406182
ANAPC2,CDC23,0.274289413
ANAPC2,CDC26,0.38806868
ANAPC2,CDC27,0.513924577
ANAPC2,FBXO5,0.016005106
ANAPC2,FZR1,0.011679316
