target_gene_name,interactor_gene_name,pval
AMBRA1,CWF19L2,5.828825363
AMBRA1,DDA1,18.29469359
AMBRA1,DDB1,16.13699389
AMBRA1,PRPF40A,20.36056081
AMBRA1,RBM25,6.778332069
ANAPC11,ANAPC4,3.510230694
ANAPC11,CCT7,7.161354961
ANAPC16,ANAPC1,63.44533034
ANAPC16,ANAPC10,20.96319973
ANAPC16,ANAPC13,6.263438459
ANAPC16,ANAPC2,61.37488859
ANAPC16,ANAPC4,23.48033474
ANAPC16,ANAPC5,46.42614347
ANAPC16,ANAPC7,25.20118088
ANAPC16,BUB1B,17.30785343
ANAPC16,CCT7,5.646615426
ANAPC16,CDC16,33.15624029
ANAPC16,CDC20,11.76990707
ANAPC16,CDC23,11.7143488
ANAPC16,CDC26,21.11486475
ANAPC16,CDC27,21.3080966
ANAPC16,FBXO5,23.57606619
ANAPC16,FZR1,4.448330094
ANAPC16,NEK2,56.34817081
ANAPC16,PYCR1,5.474970909
ANAPC16,PYCR2,15.63920279
ANAPC16,SNX9,9.332290778
ANAPC2,ANAPC1,57.89931691
ANAPC2,ANAPC10,18.57084456
ANAPC2,ANAPC11,4.883728857
ANAPC2,ANAPC13,5.618064784
ANAPC2,ANAPC16,26.41576965
ANAPC2,ANAPC4,30.00135909
ANAPC2,ANAPC5,38.996518
ANAPC2,ANAPC7,18.74964122
ANAPC2,BUB1B,13.23233169
ANAPC2,CCT7,5.118472585
ANAPC2,CDC16,26.68079157
ANAPC2,CDC20,11.21855473
ANAPC2,CDC23,9.974339016
ANAPC2,CDC26,17.94979371
ANAPC2,CDC27,16.14103701
ANAPC2,FBXO5,45.84829831
ANAPC2,FZR1,4.366801105
ANAPC2,NEK2,48.59378119
ANAPC2,PYCR1,5.533887474
ANAPC2,PYCR2,16.76446237
ANAPC2,SRI,4.317698979
ANAPC4,ANAPC1,72.12430157
ANAPC4,ANAPC10,27.02653861
ANAPC4,ANAPC11,4.912538857
ANAPC4,ANAPC13,6.876255842
ANAPC4,ANAPC16,37.67535159
ANAPC4,ANAPC2,68.77040689
ANAPC4,ANAPC5,53.99229906
ANAPC4,ANAPC7,22.08106519
ANAPC4,BUB1,5.332656104
ANAPC4,BUB1B,28.5312095
ANAPC4,BUB3,4.005256675
ANAPC4,CCT7,5.480700044
ANAPC4,CDC16,35.8095632
ANAPC4,CDC20,16.02745589
ANAPC4,CDC23,13.58190772
ANAPC4,CDC26,23.38546419
ANAPC4,CDC27,21.71514371
ANAPC4,DCAF11,3.450314149
ANAPC4,DEPDC1B,12.6820222
ANAPC4,FBXO5,57.5373076
ANAPC4,FHOD3,44.49043123
ANAPC4,FZR1,12.44549547
ANAPC4,HP1BP3,4.058150755
ANAPC4,KIF18A,10.73432339
ANAPC4,KLHL7,11.29645884
