target_gene_name,interactor_gene_name,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry
ACTG1,SMARCC2,35.74107729,5.472725712,0.001361941,0.087142944
ACTG1,SMARCD1,26.65381621,5.189441649,0.000994481,0.3775839
ACTG1,SMARCD2,59.24294717,7.529002582,0.001762938,0.216256437
ACTG1,SMARCE1,45.08590007,6.327854187,0.007250237,0.757802239
ACTG1,SMC2,5.942347512,2.818678187,0.000336151,0.587953238
ACTG1,SPATS2L,35.61320937,5.282787556,0.00197581,0.139366975
ACTG1,SPIRE1,25.87016225,4.518280664,0.009243493,0.045364673
ACTG1,SPIRE2,14.2294476,3.137687396,0.000764489,0.047335167
ACTG1,SPTAN1,18.44033758,3.858780687,0.001854185,0.763038862
ACTG1,SPTBN1,6.757270618,2.451918877,0.001286854,1.016147966
ACTG1,SRCAP,60.87021606,6.822985817,0.001226941,0.073065216
ACTG1,SS18,96.45677407,9.708393612,0.011540583,0.207008551
ACTG1,STOM,7.256682993,2.174607478,0.000992881,0.093659942
ACTG1,TCP1,9.472429808,2.419151801,0.018645877,6.365450938
ACTG1,TMEM11,20.78634368,4.006849246,0.001736616,0.097448107
ACTG1,TMOD1,7.855004005,2.310054989,0.003686669,0.065827167
ACTG1,TMOD2,5.428878924,2.111105502,0.002206142,0.002363112
ACTG1,TUBGCP4,12.0998478,2.745067403,0.000409021,0.119048181
ACTG1,TWF1,53.44409519,6.558559674,0.118310868,0.475415741
ACTG1,TWF2,11.97074586,2.67679274,0.200090326,1.412954127
ACTG1,UNNAMED,9.985455579,2.551829852,,0
ACTG1,VASP,91.77963553,9.182174598,0.13545329,0.039144954
ACTG1,WASF1,21.23555329,3.868772584,0.016395678,0.477756818
ACTG1,WASF2,11.66773074,2.941355895,0.043115179,0.179108131
ACTG1,WASF3,20.34867058,3.945962863,0.004132076,0.089554066
ACTG1,WASH3P;WASH2P;WASH6P;WASH1;WASH4P,84.74996397,8.679260796,0.002123776,0.181404342
ACTG1,WASL,96.34224004,9.508699014,0.069236747,0.052393784
ACTG1,WDR1,7.110794244,2.259323398,0.03277111,1.495302661
ACTG1,WDR44,21.27173868,3.924271299,0.002522622,0.261744453
ACTG1,WHAMM;WHAMMP3,30.11697354,4.77877215,0.000856041,0.014853062
ACTG1,WIPF2,18.33997018,3.787032187,0.01628017,0.097593646
ACTG1,WIPF3,24.60782361,4.393937829,0.012611492,0.004646269
ACTN1,ACTN4,38.09946545,7.822909698,1.765513349,8.967815098
ACTN1,CAAP1,6.078170695,2.876207159,0.000959193,0.033456814
ACTN1,RELA,5.255361785,3.509883522,0.005487002,0.004974292
ACTN1,TOP3B,4.96722507,3.105810606,0.000625937,0.031107818
ACTN2,NME2;NME1-NME2;NME1,4.188273915,2.52084888,324.9181758,1.044873862
ACTN2,SUMO3;SUMO2;SUMO4,3.604296667,2.665005283,992.3601783,0.606074578
ACTN4,ACTN1,79.44612272,11.77845676,0.106829727,0.111509882
ACTN4,ACTR2,9.019093937,3.275436024,0.008148372,0.178597767
ACTN4,AIF1L,43.03993176,10.49820916,0.001533549,0.035467491
ACTN4,ARPC1A,10.88002816,3.68623055,0.001359786,0.075158267
ACTN4,ARPC1B,35.04055602,7.126462066,0.001348656,0.068360208
ACTN4,ARPC2,12.11956972,3.90538296,0.0012949,0.13978746
ACTN4,ARPC4-TTLL3;ARPC4,8.066295839,3.183109124,0.004968128,0.13038671
ACTN4,ARPC5,11.59736117,3.883163551,0.001703682,0.029982367
ACTN4,ARPC5L,19.78607615,5.623066215,0.000944736,0.060461706
ACTN4,CAPZA1,8.497810387,3.307771508,0.00637133,0.302751466
ACTN4,CAPZA2,10.80105548,3.803893288,0.001944157,0.070325073
